,Unnamed: 0,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
0,5277,50-59,5,Separated,40-49,3,High School or GED Diploma,5,governmental,Management/Business,White alone,Female,low
1,6943,30-39,3,Married,More than 50,4,Doctorate Degree,10,governmental,Education,White alone,Female,low
2,7159,25-29,2,Never married,20-39,2,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
3,21425,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
4,16221,50-59,5,Married,40-49,3,Doctorate Degree,10,private,Legal Services,White alone,Male,high
5,11107,60-69,6,Married,40-49,3,Associate Degree,7,private,Sales,White alone,Female,high
6,21777,30-39,3,Married,20-39,2,Elementary School,2,private,Construction/Extraction,White alone,Male,low
7,8009,Younger than 25,1,Never married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Male,low
8,5072,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Repair/Maintenance,White alone,Male,low
9,17169,Older than 70,7,Widowed,40-49,3,Associate Degree,7,private,Sales,Black or African American alone,Female,low
10,14122,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Female,low
11,15902,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Sales,White alone,Female,low
12,496,25-29,2,Never married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
13,16897,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,low
14,19455,60-69,6,Never married,40-49,3,Bachelor Degree,8,self employed,Finance/Accounting,White alone,Male,low
15,9034,40-49,4,Married,40-49,3,Associate Degree,7,private,Entertainment,White alone,Male,low
16,18820,25-29,2,Never married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,Black or African American alone,Male,low
17,8242,40-49,4,Married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Male,high
18,11251,Younger than 25,1,Never married,40-49,3,Associate Degree,7,private,Service/Hospitality,Black or African American alone,Male,low
20,12299,40-49,4,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
21,21336,60-69,6,Married,Less than 20,1,Middle School,3,self employed,Service/Hospitality,White alone,Female,low
22,16724,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
23,16422,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,"Farming, Fishing, Forestry",White alone,Male,low
24,12315,50-59,5,Never married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,low
25,16450,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Female,low
26,523,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,Black or African American alone,Male,low
27,19345,40-49,4,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
28,2629,40-49,4,Separated,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
29,9698,Older than 70,7,Separated,Less than 20,1,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
30,12712,50-59,5,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,Black or African American alone,Female,low
31,13774,25-29,2,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,Black or African American alone,Male,high
32,2688,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
33,16672,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,high
34,15399,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,"Science, Engineering, Technology",White alone,Male,low
35,15667,30-39,3,Separated,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Male,low
36,13342,Younger than 25,1,Never married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Female,low
37,11944,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
38,2842,30-39,3,Married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
39,4484,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,high
40,11451,60-69,6,Married,20-39,2,High School or GED Diploma,5,self employed,Office/Administrative Support,White alone,Female,low
41,8263,25-29,2,Never married,20-39,2,Associate Degree,7,private,Sales,Black or African American alone,Female,low
42,12860,40-49,4,Separated,40-49,3,Associate Degree,7,private,Office/Administrative Support,White alone,Female,low
43,19437,40-49,4,Married,20-39,2,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
44,8148,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,low
45,11915,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,self employed,Construction/Extraction,White alone,Male,low
46,18020,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
47,3995,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,governmental,Service/Hospitality,Black or African American alone,Male,low
48,8312,Younger than 25,1,Married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
49,12030,40-49,4,Married,Less than 20,1,"Started College, No Diploma",6,governmental,Office/Administrative Support,White alone,Female,low
50,6268,50-59,5,Separated,20-39,2,High School or GED Diploma,5,private,Transport,White alone,Female,low
51,7481,25-29,2,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
52,16937,40-49,4,Never married,20-39,2,Bachelor Degree,8,private,Transport,Black or African American alone,Female,low
53,5223,60-69,6,Married,40-49,3,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
54,16888,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,high
55,4036,50-59,5,Widowed,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
56,20843,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
57,22251,Older than 70,7,Widowed,Less than 20,1,High School or GED Diploma,5,private,Finance/Accounting,White alone,Female,low
58,21475,60-69,6,Married,More than 50,4,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,high
59,13469,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,high
60,20093,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Transport,White alone,Male,high
61,2529,60-69,6,Married,Less than 20,1,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
62,8299,60-69,6,Married,20-39,2,High School or GED Diploma,5,self employed,Sales,White alone,Male,low
63,15231,60-69,6,Never married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
64,16717,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,high
65,908,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Legal Services,Black or African American alone,Male,high
66,2912,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,private,Transport,White alone,Male,low
67,15397,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,low
